1	649760
2	270585
3	182210
4	136015
5	108995
6	90465
7	76985
8	66198
9	59137
10	52430
11	46696
12	43141
13	39174
14	36088
15	33287
16	30888
17	29253
18	26549
19	25557
20	23658
21	22481
22	21385
23	20860
24	19197
25	18683
26	17470
27	17015
28	16402
29	15365
30	15184
31	14874
32	14023
33	13506
34	12944
35	12634
36	12376
37	11644
38	11396
39	11053
40	10831
41	10370
42	10031
43	9945
44	9386
45	9102
46	9058
47	8754
48	8527
49	8296
50	8376
51	7972
52	7779
53	7684
54	7429
55	7254
56	7230
57	7184
58	7037
59	6615
60	6557
61	6442
62	6322
63	6228
64	6052
65	5869
66	5879
67	5807
68	5649
69	5537
70	5604
71	5463
72	5442
73	5303
74	5144
75	4883
76	4840
77	4752
78	4863
79	4530
80	4673
81	4514
82	4414
83	4410
84	4411
85	4382
86	4339
87	4287
88	4317
89	4293
90	4106
91	4012
92	4016
93	3985
94	3843
95	3778
96	3878
97	3644
98	3680
99	3572
100	3584
101	3563
102	3511
103	3443
104	3375
105	3362
106	3299
107	3232
108	3226
109	3185
110	3152
111	3168
112	3125
113	3217
114	3051
115	3125
116	3081
117	3046
118	2871
119	2852
120	2962
121	2789
122	2819
123	2859
124	2743
125	2828
126	2766
127	2852
128	2712
129	2704
130	2796
131	2582
132	2571
133	2650
134	2535
135	2626
136	2691
137	2496
138	2626
139	2462
140	2392
141	2518
142	2505
143	2473
144	2436
145	2504
146	2442
147	2484
148	2386
149	2359
150	2425
151	2382
152	2288
153	2377
154	2412
155	2258
156	2338
157	2227
158	2301
159	2259
160	2336
161	2225
162	2327
163	2274
164	2309
165	2284
166	2254
167	2195
168	2211
169	2194
170	2185
171	2243
172	2218
173	2304
174	2171
175	2146
176	2182
177	2176
178	2126
179	2194
180	2196
181	2166
182	2149
183	2227
184	2374
185	2229
186	2201
187	2244
188	2300
189	2371
190	2324
191	2470
192	2325
193	2427
194	2477
195	2408
196	2536
197	2440
198	2454
199	2674
200	2719
201	2588
202	2681
203	2707
204	2902
205	2804
206	2860
207	3189
208	3361
209	3460
210	3774
211	4089
212	4369
213	5111
214	6579
215	9927
