1	4755660
2	1471142
3	696153
4	412768
5	270825
6	192898
7	144704
8	113119
9	91298
10	76539
11	62315
12	53505
13	46632
14	41892
15	40059
16	33804
17	31176
18	31735
19	27180
20	25174
21	23118
22	22232
23	24189
24	20475
25	19190
26	18671
27	18265
28	17999
29	17826
30	18120
31	18470
32	18897
33	20085
34	21841
35	24682
36	29316
37	38992
