1	7038
2	396
3	183
4	162
5	143
6	76
7	67
8	38
9	50
10	34
11	32
12	50
13	32
14	27
15	23
16	22
17	29
18	16
19	18
20	17
21	14
22	14
23	10
24	11
25	16
26	15
27	10
28	25
29	15
30	22
31	27
32	17
33	17
34	12
35	7
36	16
37	12
38	12
39	12
40	16
41	6
42	15
43	8
44	13
45	11
46	15
47	11
48	15
49	17
50	10
51	13
52	15
53	17
54	16
55	24
56	18
57	30
58	17
59	19
60	7
61	12
62	14
63	15
64	10
65	20
66	12
67	13
68	17
69	14
70	22
71	12
72	11
73	14
74	30
75	19
76	21
77	14
78	23
79	23
80	28
81	44
82	41
83	107
84	126
85	6050
