1	15817
2	6770
3	2991
4	3484
5	1783
6	2268
7	1448
8	1469
9	2332
10	1227
11	931
12	820
13	667
14	608
15	642
16	540
17	473
18	449
19	554
20	396
21	402
22	297
23	275
24	418
25	314
26	314
27	245
28	253
29	256
30	745
31	292
32	216
33	288
34	433
35	206
36	84
37	99
38	72
39	81
40	103
41	74
42	78
43	79
44	366
45	1008
46	516
47	377
48	376
49	409
50	358
51	346
52	338
53	277
54	354
55	426
56	333
57	368
58	376
59	379
60	371
61	375
62	384
63	458
64	490
65	430
66	479
67	499
68	581
69	611
70	1029
71	694
72	765
73	1054
74	965
75	1811
76	1332
77	2560
78	5387
