1	108310
2	46297
3	31588
4	23766
5	20010
6	16613
7	14464
8	12954
9	11138
10	10042
11	9448
12	8694
13	8176
14	7512
15	6979
16	6698
17	6011
18	5517
19	5348
20	5375
21	4967
22	4336
23	4135
24	4123
25	3753
26	3597
27	3553
28	3353
29	3272
30	3023
31	3011
32	2885
33	2728
34	2701
35	2604
36	2280
37	2378
38	2388
39	2230
40	2308
41	2240
42	2112
43	2185
44	2025
45	1953
46	2398
47	1904
48	2216
49	2014
50	2048
51	1990
52	1981
53	2082
54	1846
55	1936
56	2159
57	1998
58	1993
59	2232
60	2086
61	2483
62	2652
63	2888
64	3406
65	4468
66	7485
