1	35875
2	5326
3	2157
4	2086
5	1948
6	1052
7	841
8	626
9	555
10	483
11	457
12	489
13	374
14	343
15	316
16	305
17	308
18	249
19	205
20	241
21	214
22	178
23	178
24	188
25	194
26	181
27	211
28	230
29	199
30	194
31	179
32	167
33	173
34	143
35	134
36	129
37	116
38	125
39	110
40	100
41	98
42	121
43	120
44	115
45	103
46	133
47	120
48	121
49	140
50	153
51	118
52	159
53	157
54	163
55	199
56	222
57	242
58	191
59	156
60	127
61	136
62	139
63	146
64	120
65	126
66	113
67	121
68	137
69	114
70	155
71	113
72	137
73	131
74	201
75	173
76	170
77	152
78	204
79	227
80	262
81	377
82	393
83	709
84	1154
85	24011
